./testing\best_case,200,0,0,0,0,100,0,0,100,0,100,0,0,0,100,0,0,0,100,100
./testing\best_case\data_10e1.txt,1500,900,1100,800,800,700,800,800,800,800,800,800,800,800,800,800,800,800,800,1300
./testing\best_case\data_10e2.txt,5200,3200,3200,3200,3700,3200,3200,3200,3600,3300,3300,3200,3200,3200,3200,3100,4800,5800,4000,3200
./testing\best_case\data_10e3.txt,33700,32300,32000,32800,32200,33400,33300,34200,40600,34300,34800,33000,33100,34100,35300,35300,35100,32900,31900,34600
./testing\best_case\data_10e4.txt,317600,325300,317700,309100,337200,313900,332900,327400,327800,323200,327100,299800,302600,326700,325500,324400,341000,321800,351500,327400
./testing\best_case\data_10e5.txt,3234900,3329300,3082100,3060300,3140900,3334000,3516800,3023900,3117700,3022700,3070500,3248900,3109300,3095300,3020600,3243700,4809700,3678600,3067900,3085000
./testing\best_case\data_10e6.txt,31506700,32436800,31711300,32272400,30993600,31235300,31822100,30337200,30578300,30558000,30734500,30242400,34684900,30337400,30212200,29604100,29732900,29332500,29562800,29806100
./testing\best_case\data_10e7.txt,310337400,319047500,312615700,319587200,303626600,428789800,436968600,324155700,322881200,316802900,315609800,316350800,456516100,391281600,336835900,295614900,303846200,295937300,353688800,297534200
./testing\best_case\data_10e8.txt,2959885700,2985260400,2998923900,2954650000,2994311200,2972704900,2968864900,2961765600,2987656000,3003703800,2990780800,3007313500,2952039000,2960295300,2941724500,2965014400,2989007100,3055215600,3028892800,2951802200
./testing\random,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,0,0
./testing\random\random_10e1.txt,1700,700,600,600,600,600,600,700,600,600,600,600,600,600,600,600,600,600,600,600
./testing\random\random_10e2.txt,9700,7100,7100,6600,6600,7100,6500,6600,7000,6500,26400,7100,6700,6900,79500,6700,6600,23100,6500,6500
./testing\random\random_10e3.txt,401800,134200,103300,99400,164400,84600,182200,73300,76000,73100,73700,74400,76000,75200,74700,75600,74800,94200,171300,72600
./testing\random\random_10e4.txt,1403500,1231300,773800,705200,774000,821100,881300,932300,653500,766800,760400,771600,649400,768000,762800,730000,666400,776300,981500,817100
./testing\random\random_10e5.txt,8055200,7853500,7574600,7653700,7668000,7815400,10304600,12720500,8246300,7455900,8126600,7707200,7381400,7932600,7380800,8569200,7501400,8318800,8017300,8806800
