./testing\best_case,400,100,0,0,0,100,100,100,100,0,0,0,0,100,100,100,0,0,100,0
./testing\best_case\data_10e1.txt,3000,1100,1000,900,1000,900,1000,1000,900,1000,900,1000,900,900,1000,1000,1100,1100,1000,1100
./testing\best_case\data_10e2.txt,7400,3000,2600,2400,2400,2400,2800,2700,2300,2300,2400,2300,2500,2300,2300,2300,2700,2300,2300,2300
./testing\best_case\data_10e3.txt,67000,23300,25600,30200,30000,109300,30900,31000,32400,32400,33700,109500,32100,66400,72300,30700,32400,31900,32200,32900
./testing\best_case\data_10e4.txt,298000,177300,249800,268800,282700,255100,180200,183200,442900,280600,221900,221500,195500,196400,200500,217900,211900,213200,231600,288400
./testing\best_case\data_10e5.txt,2213200,2504600,2350900,2110500,2238100,1984500,2394200,2405900,2120100,2882300,2124400,1974300,2954800,3618000,3974500,3573900,2971100,1840300,2031300,2200400
./testing\best_case\data_10e6.txt,25667400,26061600,28401500,26339300,26078200,26351300,30332000,37656100,26299400,26159000,26039500,25841100,28238100,25835300,19827900,19675900,22455400,20065000,18457100,18916000
./testing\best_case\data_10e7.txt,227861200,225509600,247570300,230793700,215007900,229966800,216810200,213390900,215006300,227045400,216658200,206733400,215616300,215507500,220896800,209257200,205224800,206834900,208468300,204083300
./testing\best_case\data_10e8.txt,1807422400,1782602000,1827585500,1739107400,1801581400,1820713100,1769348200,1780500200,1765036700,1759214200,1860074200,1797767000,1745421300,1823554500,1741589500,1798228200,1729298900,1781703800,1770709800,1777117200
./testing\random,300,100,100,0,100,100,100,0,0,0,0,100,100,0,0,100,0,0,0,0
./testing\random\random_10e1.txt,1900,700,700,500,500,500,600,500,400,500,400,500,500,500,500,500,500,500,500,400
./testing\random\random_10e2.txt,15100,10800,8000,7400,7100,7100,8400,7100,7000,7100,7600,6800,7100,7500,7000,6900,8100,7500,7000,7000
./testing\random\random_10e3.txt,200000,71600,77900,62500,81600,65200,67800,63200,65700,66400,63200,74900,68600,68900,100100,61800,58700,60800,100200,113800
./testing\random\random_10e4.txt,669700,586100,578600,562900,602200,568300,576700,553200,631800,577000,577700,560400,787100,709600,586400,551400,589600,560800,559300,552000
